titulo,preco_antigo,preco_novo,desconto,link
,,,,
Smart Tv LG Led 55 55ut801c0sa 4k Ultra Hd Thinq Ai Webos 24 100v/240v,3.570,R$2.229,37% OFF no Pix,https://www.mercadolivre.com.br/smart-tv-lg-led-55-55ut801c0sa-4k-ultra-hd-thinq-ai-webos-24-100v240v/p/MLB44672028?pdp_filters=item_id%3AMLB3931220705#polycard_client=offers&wid=MLB3931220705&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=1
Natura Homem Essence Deo Parfum 100 Ml,219,R$132,39% OFF,https://www.mercadolivre.com.br/natura-homem-essence-deo-parfum-100-ml/p/MLB23888860?pdp_filters=item_id%3AMLB5183248892#polycard_client=offers&wid=MLB5183248892&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=2
Bota Feminina Cano Longo Alto Salto Bloco Grosso Confortável,179,"R$99,90",44% OFF no Pix,https://produto.mercadolivre.com.br/MLB-4562666112-bota-feminina-cano-longo-alto-salto-bloco-grosso-confortavel-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=3&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,3.945,R$2.899,26% OFF,https://www.mercadolivre.com.br/notebook-acer-aspire-5-ryzen-7-156-radeon-512gb-8gb-linux/p/MLB37725686?pdp_filters=item_id%3AMLB3746022465#polycard_client=offers&wid=MLB3746022465&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=4
Calça De Sarja Masculina Bolso Faca/embutido C/ Lycra,78,"R$59,89",24% OFF,https://produto.mercadolivre.com.br/MLB-3460338895-calca-de-sarja-masculina-bolso-facaembutido-c-lycra-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=5&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
Bicicleta Bmx Pro-x Aro 20 Freios V-brakes Pneu Balão,697,"R$501,84",28% OFF,https://produto.mercadolivre.com.br/MLB-4240850096-bicicleta-bmx-pro-x-aro-20-freios-v-brakes-pneu-balo-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=6&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
Notebook Acer Aspire 15 A15-51m-56kr / Intel® Core I5-13420h 13ª Geração / 16 Gb / 512ssd / 15.6 Full Hd,4.855,R$3.195,34% OFF no Pix,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=51L%2FCzoSRthnR59MitKjtynhZ8mcI9J9MUjn48MM6kvgxfKOqTVsDfYuHuKLoUK%2BOIBPfs92sayNCwOs8vQkyfE646S8i8ygL5DqMpH7zt1SAo1niPKkdUIuWBh7JIrAYuw3vPp8SsHWw6o1HwlGY0DNTcXHqit8xYt246%2FHU93j%2FNR1N%2FPatpnIEgyw5rpBFLharheWB9mqsplVMUJ%2Fl%2FRW9mhrpqPDYWNTbmsrhoRusLj6w4MdUVvw4XTPesxRw5goFHfpTHWKl4%2FlZpiSaeRmxjXbQz%2BjZkI3VkWEu1CuhaqNMMOolKb4zX5vwbh6tN%2BUIhrP%2F94pST6AYmtQN%2BXUKiCkQP2ZuvDeuXRrRV8Uqd%2BdIxjDWSSnj2y7swtOzs0igKT4WJidTAnFkmbv5qsU%2FxMPp9cEnO0zizifsFjPvIOx5vk3VIPYDa8rRIvvjNmEn2eDZgXKfV1ZfH%2BtMSbyhoAQfgpOFQi4fNTm1JXcXJnQCjPUEcNy6oXYe8%2BMCTm5UCMiqqX%2FoXFpWGxIStOqrHfuRzJgYAUq0F4%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fnotebook-acer-aspire-15-a15-51m-56kr-intel-core-i5-13420h-13-geraco-16-gb-512ssd-156-full-hd%2Fp%2FMLB43513588%23wid%3DMLB4046218363%26sid%3Doffers%26searchVariation%3DMLB43513588%26position%3D7%26search_layout%3Dgrid%26deal_print_id%3Df1b37430-ce15-44cc-a28f-57ee1a0334b9%26tracking_id%3D85036982-af31-4e41-9a4c-7cd471e31831&lm=1128976301#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=7&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&wid=MLB4046218363&sid=offers
Smart Tv LG Uhd 4k Ut80 65 Polegadas 65ut8000,3.765,R$2.999,20% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=MI90KMx5w84CNe8CHoC9qjcz9Hyhrj9YP1RmAlxAVKv8sFZwjxZ%2FsHlYKH46y1fmvr%2FD2tbPytW3vmPvPdao8T9%2FIpCpcFstTvjUFvAclhsxhchCviFFxqspz94aFe%2Bnr4xQx%2FD%2FcQg2zrMxjO5J4Xxln%2FHpp3LgiJqSsmKK6GVNwKgseLP8XLm447i1hHUxQ6qYeBN4zMkiNVcUvVjhG%2FLjMEuZCAuX8SE8P0R%2FIi7V2nKAjoQpJ5GJu3S3NRk1u7%2FXoc88XAfGO0aqimBwZElVDUqnDSIbwDMDtNVBlqVkqPYf5OwwMZ3AycALUlhtNFU%2BRKEGelqxYo%2BN70427duQk7sBu1sF%2FXdXrHXqXE75ArBWAnKnml8GtGRqvZ7s6bfEm4xmX4Nad0OZnFd1aet1Np6NtnzpG7dV9dpAUf7mUIyv5bOMEMHWVqzT3CAQaOaGAaHhlEGl8DHr8pMNazG3%2B865IO0gfBPwI8TBRBXpGyu4ifoIFm0E2pBqndyuOfHFG7prpROWxUVx3EjMFVu%2By0Iou3gUBVHZcQ%3D%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fsmart-tv-lg-uhd-4k-ut80-65-polegadas-65ut8000%2Fp%2FMLB45987887%23wid%3DMLB5348226720%26sid%3Doffers%26searchVariation%3DMLB45987887%26position%3D8%26search_layout%3Dgrid%26deal_print_id%3Df1b37430-ce15-44cc-a28f-57ee1a0334b9%26tracking_id%3D85036982-af31-4e41-9a4c-7cd471e31831&lm=1286430976#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=8&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&wid=MLB5348226720&sid=offers
Calça Skinny Preta Masculina Jeans Com Elastano Lycra 2023,78,"R$54,65",30% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XpMaPvkBz%2Fua4Optqzg%2BxXEul0Oj%2BEI4XhAYMvaCnwUeoZD41hP%2BcJ%2FjFRB133MH1A%2FxqA9aYEcmSBeIpMSXpKLNMteHjnukIW9FXdk%2BfKys0cLVONeB03lKinVld5qnzZGnCXB6Laykn%2B1%2BJOJKTgLWNCnQlzQo3aDvGtwAJbbXgY%2FDuUFDO5szjDuL%2BbqOqPZynNJSJfdKB8vuhxfyBcDhcy%2BzFJPpVOi5uP%2BH%2FHPEHQNlL7OfH2Vpdq%2BndzZ%2FRj59mYQNzLYlt%2BWnQ%2FrGZjwF6S%2FQ27JVCkY5EF4PaevOL0oC7Q%2Bs6h0tl6nXr6RGl8XvhD8u3hPR4c1uKiAV%2FpbUQd%2B6df9wZ8B82TXfcmBEreLii%2B4O4Hf8h2ysBTYSrU0YJ3R9c2XUH%2Byjq04cuusMcXFXiyhN4M%2FUs9QGgZe9ZzoI6vEwHAqeTZPq49spcHhC1iN0TnqdaTgFHKQbc%2FxrbKjFDg37ctcoru%2B%2BEt0ri7D8LfuvuK%2B2rvDYxfBCe7vYRHBp1p%2FYC9ED2FRCDMYoT0RDss9F98Z8Hg%3D%3D&url=https%3A%2F%2Fproduto.mercadolivre.com.br%2FMLB-3365565438-calca-skinny-preta-masculina-jeans-com-elastano-lycra-2023-_JM%23searchVariation%3D0%26position%3D9%26search_layout%3Dgrid%26deal_print_id%3Df1b37430-ce15-44cc-a28f-57ee1a0334b9%26tracking_id%3D85036982-af31-4e41-9a4c-7cd471e31831&lm=1348460036#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831
