titulo,preco_antigo,preco_novo,desconto,link
,,,,
Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro,1.099,"R$809,10",26% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/smartphone-motorola-moto-g15-128gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-e-night-vision-bateria-de-5200-mah-tela-fhd-67-com-superbrilho-nfc-azul-claro/p/MLB46056585?pdp_filters=item_id%3AMLB3975698675#polycard_client=offers&wid=MLB3975698675&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Micro-ondas Electrolux De Bancada Branco Com Função Tira Odor E Manter Aquecido 34l Meo44 127v,866,R$598,30% OFF,https://www.mercadolivre.com.br/micro-ondas-electrolux-de-bancada-branco-com-funco-tira-odor-e-manter-aquecido-34l-meo44-127v/p/MLB8742310?pdp_filters=item_id%3AMLB3490030103#polycard_client=offers&wid=MLB3490030103&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Creatina Monohidratada 600g 100% Pura Soldiers Nutrition Sem Sabor,154,"R$70,99",54% OFF,https://www.mercadolivre.com.br/creatina-monohidratada-600g-100-pura-soldiers-nutrition-sem-sabor/p/MLB26989230?pdp_filters=item_id%3AMLB4063179466#polycard_client=offers&wid=MLB4063179466&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Creatina Monohidratada Pura 500g Dark Lab Unidade,97,"R$62,82",35% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=r69y2DUy0Uo8hOxwieFiNu36HAire%2B3SjHNI0AOo%2B%2FkkUhqY%2F4MS%2FY%2FWFkBWzrKMPen%2FLYtUYOO7XXP6W35euEcKNowiVStOy8JeDs%2Bmr%2BkDRDd%2F2nAy6ycV9%2Fn9jvMNSCiKYo5UqqybGYBqD81sbFGkzmjA75j1gpX1OTUvEq2BHF%2FOR6I3ag8VWLapYhZPNbz%2B%2FVDpHu8UzpXlJ46zj5WQ1cnNLW9Bacv%2FrenVKjP0xsJN5kHXCuTAfVJ%2B5nL1N9dDhiM6LfLuQLgMnmV9JC75Ps6%2ByllOGfd%2FONY3neJEhgLKRpOG6Gip01ywXfbtEmHMBQmntIcp%2FTc%2FTN5aao4YRylcPk2NOtm7z53HlMfXOJA03Vgbpu5Z7NHcHDRakdcQDhLVXHrMOoPetrJiMDA9pR5x36ezju%2BGC0N42CFkeymxH7ucDgoG2SNF59IFGro9viZu7x2ShFHXL52nbxuBzqjJY1Ec%2Bvp1Qj2hbbHorQc5F9rK%2BhzrVGCB71or6HGCBSqC1yMSmGDgtL3jRM650eJQ2eQfL%2BwXPI4%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fcreatina-monohidratada-pura-500g-dark-lab-unidade%2Fp%2FMLB26796581%23wid%3DMLB4812143184%26sid%3Doffers%26searchVariation%3DMLB26796581%26position%3D4%26search_layout%3Dgrid%26deal_print_id%3Dce2c5ac2-5220-4a1f-80a4-558760eee75d%26tracking_id%3Dbf0c604e-3534-4f68-b982-3b29abe7c579&lm=-1055187966#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB4812143184&sid=offers
Smartphone Motorola Moto G24 - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 50mp Night Vision - Rosa,899,R$729,18% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=rwUw6i3dWf8il42iYlJu1u0t98Do%2BjwvF6PJNtlVyQp8DE0%2FDGPD6caRNFBkPxrLin4xcmUnviHc%2BzDZH8vkZaREVa2cE4qnOk791LGRFXROSIriYsthIdwuowoS7W6noGHgrDLmATIApIWXa%2FHIU9Hy%2BzjvogC4p7i5nx0KhPmk%2BY4lRRjcfMGM2SAQl4UPxbve8jHrbgNp6Ihtx3Gk2jRKu1KQFncHgFN5tGDarDruinihL7cVaJc3Sd6DWo9IrVleY7U6oJQjf%2BUqWKiUWJksibofXR9Ym%2FvzbdRaMi0apvRBYI9t96H2hzwEnnj8gwIVtugbMK3Rn77pvOHiU7pQ880Ah5vpaYs5T%2BKzwAxexlCoT80bg%2Fn%2F5IGnHCmKQkcVqdMBOOqS0F7pwOEe%2BnsF3h8MlHuASFe%2BzGeNaCm0d3UcdsRQ%2BkI0oAEzbLXYAPmEwip8R5zkbQ%2FD738KJfdXFfQHKOV10PXWHgrrNjRPSIeXh%2B9EOei8B2cM9keLkvncv3REMM%2BFfFTird%2FVMN2TIKovv2LfdCY%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fsmartphone-motorola-moto-g24-128gb-8gb-4gb-ram4gb-ram-boost-ai-camera-50mp-night-vision-rosa%2Fp%2FMLB34079280%23wid%3DMLB5371350752%26sid%3Doffers%26searchVariation%3DMLB34079280%26position%3D5%26search_layout%3Dgrid%26deal_print_id%3Dce2c5ac2-5220-4a1f-80a4-558760eee75d%26tracking_id%3Dbf0c604e-3534-4f68-b982-3b29abe7c579&lm=-1711323626#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB5371350752&sid=offers
Fritadeira De Ar Petit Fry Elétrica 3.7l Preta Elgin Cor Preto 127v,299,"R$189,90",36% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=dcNFn%2F84oTUCYUykFQprxgZVyWsuaY6m8%2BwzQ%2B602chU3z9lHTx5uooUGcbVaSO0gXNjAjHRFOnO1Etk5Uy0ZDC3B4eAz%2BGO0lj7cOcAE7yJKL4hRxLihJKTBGu9R9SKSWNYGW0XR4bc4pz3ne94jlfGdWNLaKgjF8XUcNBJLJu99gpG496Mz2dYXOV72%2BaqGKnEOnlOMAz5gSwZPo%2FlUH1i3jimm6P0egH7lJcd8%2FEiJIlCPaIRFeoYuuGyD5AQcLRZqe9K9OrPExoJ2UiiiPyPHi%2FsxMwx4d%2B46xF6B%2FYmSWLPYhz0txMfK%2Br3f2rxbtxX0%2BvjBz%2BbRSf2hr4uR9FFPLHPHI%2Bsst%2FWYsofXv3ic4PR0ySGXxZ4kNIG76zlHxqFSD2Gvfj6H5gYj8ZAd3%2BTN4SpompeAcKSwIk26X1DWDSumpIaKvPZWrRtd2DiW28SFeGO8xhp4w9%2BiRdm0qyH2SGFD%2BydiX5HFfzHA36qsWeyMXAdMx%2FJexc%2FW4y0g1K7E9172jogNpTmq6ecJSxM4XXYaOIZTjt8GQ%3D%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Ffritadeira-de-ar-petit-fry-eletrica-37l-preta-elgin-cor-preto-127v%2Fp%2FMLB46644544%23wid%3DMLB4011603369%26sid%3Doffers%26searchVariation%3DMLB46644544%26position%3D6%26search_layout%3Dgrid%26deal_print_id%3Dce2c5ac2-5220-4a1f-80a4-558760eee75d%26tracking_id%3Dbf0c604e-3534-4f68-b982-3b29abe7c579&lm=1954706272#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB4011603369&sid=offers
Caixa Amplificada Connect Lights Cm-400 Mondial Cor Preto 110v/220v,806,R$455,43% OFF,https://www.mercadolivre.com.br/caixa-amplificada-connect-lights-cm-400-mondial-cor-preto-110v220v/p/MLB18247621?pdp_filters=item_id%3AMLB3301462109#polycard_client=offers&wid=MLB3301462109&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Fritadeira Airfryer Série 1000 Xl Philips Walita Na130,541,"R$541,43",,https://www.mercadolivre.com.br/fritadeira-airfryer-serie-1000-xl-philips-walita-na130/p/MLB39292059?pdp_filters=item_id%3AMLB3822504169#polycard_client=offers&wid=MLB3822504169&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Smart Tv Aoc 32s5045 32  Hd Led,1.200,"R$963,82",19% OFF,https://www.mercadolivre.com.br/smart-tv-aoc-32s5045-32-hd-led/p/MLB40359906?pdp_filters=item_id%3AMLB5264164058#polycard_client=offers&wid=MLB5264164058&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Samsung Galaxy A25 5g Dual Sim 256 Gb Azul 8 Gb Ram,1.998,R$1.275,36% OFF no Pix,https://www.mercadolivre.com.br/samsung-galaxy-a25-5g-dual-sim-256-gb-azul-8-gb-ram/p/MLB33389797?pdp_filters=item_id%3AMLB5303496736#polycard_client=offers&wid=MLB5303496736&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Micro-ondas 32 Litros Cms46ar Inox Consul 110v,799,R$689,13% OFF,https://www.mercadolivre.com.br/micro-ondas-32-litros-cms46ar-inox-consul-110v/p/MLB19310684?pdp_filters=item_id%3AMLB4026330215#polycard_client=offers&wid=MLB4026330215&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Creatina Monohidratada 1kg 100% Pura Soldiers Nutrition Sem Sabor,239,"R$135,90",43% OFF,https://www.mercadolivre.com.br/creatina-monohidratada-1kg-100-pura-soldiers-nutrition-sem-sabor/p/MLB18725310?pdp_filters=item_id%3AMLB2766771378#polycard_client=offers&wid=MLB2766771378&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
